Id,Predicted
4,2492.97321250139
6,2501.5858271806924
8,2668.1585342997823
9,2464.7745889479324
11,2530.788870871457
15,2487.8026903569075
19,2399.524668523443
20,2495.3736724356568
32,2411.4692176825483
33,2399.5683965983494
40,2602.115203109063
42,2404.629746560246
46,2517.199640591726
50,2534.579000634412
57,2531.5965143429676
59,2446.175227966537
66,2642.09935803844
73,2570.633739456204
78,2487.9138672174213
91,2386.2315486469397
93,2603.407146969012
101,2402.409226445989
102,2504.115432194686
106,2598.6264822735016
111,2514.8868562189327
113,2407.344116497962
114,2582.2473445333612
118,2584.260247592922
119,2543.139605584711
126,2537.7872083123125
127,2343.8941030066608
138,2416.6711778034332
143,2501.128721271999
145,2610.394828859247
148,2589.9690929955123
151,2469.5235701272954
153,2525.2223751048587
157,2644.955425392133
159,2483.0034037774135
165,2439.1367715352358
170,2416.7661759024318
171,2471.82461317479
173,2450.1830442288797
177,2539.390146738616
183,2483.622980930073
199,2590.2869049628844
225,2567.315142383244
231,2535.245138064813
232,2563.297225440889
233,2371.751513023004
238,2650.0243598524116
244,2663.7891671115794
245,2542.444959650055
247,2442.018693699793
248,2376.6804617999474
250,2343.100905564745
254,2532.52649593783
255,2604.801644171622
256,2614.607682851194
257,2402.115001447504
258,2460.2095791629417
259,2411.9786470495637
263,2515.6087509582035
266,2472.9275363472307
267,2460.6461409086396
273,2558.9330413865964
274,2524.1989139354705
276,2568.6170945160748
285,2589.1080491585362
286,2671.222158594041
288,2395.8446295419194
299,2563.1436327447545
305,2591.4951339192785
307,2556.873458335271
312,2607.4136257645746
314,2571.2236614979497
315,2463.8022409865002
316,2564.1925540367024
323,2571.578763458958
326,2575.802426309605
327,2362.2871670993195
329,2685.035224786633
330,2512.437716587242
331,2400.460644686042
333,2526.9848062057936
336,2597.2227668792116
337,2443.5310654692566
338,2495.5808578860792
340,2536.3306466930476
344,2578.0662406178685
346,2518.758615945898
349,2480.1894994356435
350,2524.6497819332503
359,2596.2324144372765
361,2633.2357821294336
363,2553.0095472480666
365,2525.9234782978588
373,2371.1931275439433
376,2505.004166601558
382,2473.073408817065
387,2484.339769961609
388,2568.922380279633
392,2449.3939994172524
394,2449.9676477994217
399,2380.9909316995436
406,2485.727018463335
408,2482.6319967444215
419,2572.6255184315073
422,2590.2253174035536
425,2509.3353110059534
427,2451.2006007159735
433,2570.324487279393
442,2485.923378088304
451,2500.077817003034
457,2499.8505184803817
458,2474.7137147889475
459,2333.4589461109194
462,2434.442036686569
472,2485.852129571873
474,2432.5808266493414
487,2506.3767946995113
491,2380.1825066109704
493,2605.251905074365
494,2515.264620091461
499,2521.0975115781102
502,2543.6370581790775
503,2500.447751502235
504,2456.054278457756
508,2468.063138181973
513,2412.2629666143152
524,2668.603678863977
525,2435.584542901628
528,2590.604341195222
531,2628.252265319315
541,2632.5228525242646
551,2577.701084274532
553,2508.532097075864
580,2387.859246413399
583,2468.1816213355555
586,2527.9938061202697
587,2534.8235725647655
598,2634.4711969522054
602,2460.2339284594127
603,2406.4380801593506
605,2499.268786113925
612,2615.16432689159
613,2316.9877163183523
615,2480.0291708331565
619,2406.8661247149057
626,2437.5822784837187
632,2520.1838492953902
633,2587.3129412579306
638,2522.9687224579593
649,2455.441484051036
652,2535.1344077098515
657,2452.0773494237255
661,2677.5286050623345
663,2508.9809493254375
664,2609.5321659325778
667,2481.654901272584
671,2436.4836714618687
672,2420.8194833412244
677,2420.7665087218147
678,2418.0347833950636
685,2610.53754194881
689,2538.269982976049
697,2419.261080615075
699,2615.16432689159
700,2383.3184964228853
702,2623.9522203279184
707,2456.1170779453823
708,2540.2461872107706
710,2484.6129603364616
714,2431.7387241390834
720,2396.396945500335
726,2488.917778368037
727,2477.5042314231314
728,2475.661853122677
730,2606.1325271136234
731,2380.2210774846344
732,2510.336856936574
734,2458.3171781795345
738,2532.399634418006
742,2415.779446113305
750,2529.7602391352257
751,2650.790019178801
752,2493.064424992564
753,2450.28339370801
765,2497.698503340152
766,2726.1334316978277
768,2563.1436327447545
769,2520.5816837780517
773,2566.571778336382
775,2571.4134924175423
778,2340.6602561079317
779,2379.484736417975
789,2410.395059371048
790,2463.664874436789
794,2511.2309821141102
803,2514.6866093126837
809,2375.9788296748156
817,2447.373166359027
820,2349.9837598023482
822,2370.5458913618518
833,2464.387512260173
836,2592.7090520895613
837,2386.561951250961
839,2474.0835306430668
840,2377.3312271239633
842,2606.314792050943
845,2475.049588878258
853,2557.0006231523635
857,2537.629441911418
866,2431.408114375937
867,2517.4613165417563
868,2503.3796296027763
871,2498.912415196141
877,2450.5279022200407
882,2623.5435893607123
885,2406.559107944863
887,2455.835612216262
890,2523.590266411082
895,2463.9065508487924
896,2512.105450040444
905,2337.16728888836
912,2517.248884501698
913,2608.279608591409
920,2572.297202577068
928,2472.2099196794825
932,2388.6170785595864
938,2514.9017970743134
942,2446.405008613321
953,2591.977187814334
954,2704.448546911555
955,2558.7286173379625
958,2341.1757783073413
